school_id,lat,lon,county_fips,match
A1502397,40.902991463749,-74.004139244014,34003,Match
A1101735,41.121632144028,-74.066280671085,36087,Match
00937483,41.1486809467,-74.018564869537,36087,Match
00939662,,,,No_Match
A0507893,42.769814967354,-71.485395295911,33011,Match
01914578,35.398977226136,-80.607722668164,37025,Match
A2190555,35.085592950708,-106.558833454478,35001,Match
A1101731,40.768802006314,-73.985156101913,36061,Match
A1502399,40.118587253316,-74.256996601162,34029,Match
A2190554,32.311546563502,-106.763948355449,35013,Match
A9303523,,,,No_Match
A9303529,43.064007484354,-71.305296504507,33015,Match
A1502394,40.61995578097,-74.43441935052,34035,Match
AA890699,,,,Tie
A9303527,43.778645400367,-72.180838464287,33009,Match
02047364,40.862472538524,-73.918045389331,36061,Match
02048211,40.840306785351,-73.277631418166,36103,Match
A1101737,,,,Tie
02045196,32.866388848682,-105.981881483984,35035,Match
A0902541,35.384646934701,-77.939351175326,37191,Match
00930852,40.87070594118,-73.430190260352,36103,Match
A0902540,,,,No_Match
A0307752,40.360128518494,-74.62275496826,34023,Match
A0107285,40.315892846057,-74.243954092935,34025,Match
A2300731,,,,No_Match
A1902973,40.735200909467,-73.281375122184,36103,Match
A0902543,,,,No_Match
A1502384,40.654477653487,-74.345213295667,34039,Match
A1101741,40.605684714819,-73.751250697418,36081,Match
A1101742,41.108169986197,-74.044808020036,36087,Match
A9104392,40.824041820248,-74.448717590298,34027,Match
A1101740,40.724917958558,-73.990161257025,36061,Match
AA890683,41.124321531225,-74.090280075377,36087,Match
A9303558,,,,No_Match
A1992007,35.138335622257,-106.58850917356,35001,Match
A1101747,40.618611133423,-73.942310311703,36047,Match
A0108162,36.094246974277,-76.573766840039,37041,Match
02046054,40.625353263648,-73.960334007275,36047,Match
AA890691,43.078793907206,-77.582865982219,36055,Match
A0108165,35.446922948799,-80.217765484457,37167,Match
A0971575,42.810722146641,-73.892842319205,36093,Match
A0108164,,,,No_Match
A0307765,39.988603595935,-74.201786531778,34029,Match
00926369,40.604260641891,-73.940574988283,36047,Match
00941988,41.584530906616,-73.922822196518,36027,Match
01010991,34.818580498252,-79.178591538434,37155,Match
A9104393,40.795397390472,-74.234708456011,34013,Match
00940656,42.440926332088,-76.034162239556,36023,Match
A0108168,35.781694974207,-77.973847406516,37195,Match
A0902515,,,,No_Match
00927216,42.912982473674,-78.869785557831,36029,Match
A0902514,35.661305294068,-81.28675719633,37035,Match
00936162,40.590321504283,-73.964956658323,36047,Match
A1101756,35.050431982885,-83.818165932523,37043,Match
A1101757,34.874958804747,-77.698264225253,37061,Match
00938352,43.003327896816,-76.147138735601,36067,Match
A1101754,,,,Tie
K9500370,35.114118326662,-80.75408961931,37119,Match
01914556,36.08340192089,-79.439963408481,37001,Match
A1101755,35.383470494225,-80.568980715167,37025,Match
00864479,39.474126001399,-74.492049009488,34001,Match
A1101752,35.789940966651,-78.690562906084,37183,Match
