Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Eldorado High School (Texas)",33756510,"https://en.wikipedia.org/wiki/Eldorado_High_School_(Texas)","Texas","Eldorado, Texas","","Texas","public","Public high schools in Texas"
"Electra High School",10944661,"https://en.wikipedia.org/wiki/Electra_High_School","Texas","Electra, Texas","Wichita County, Texas","Texas","public","Public high schools in Texas"
"Elgin High School (Texas)",34243150,"https://en.wikipedia.org/wiki/Elgin_High_School_(Texas)","Texas","Elgin, Texas","Travis County, Texas","Texas","public","Public high schools in Texas"
"Elkhart High School (Texas)",23771593,"https://en.wikipedia.org/wiki/Elkhart_High_School_(Texas)","Texas","Elkhart, Texas","Anderson County, Texas","Texas","public","Public high schools in Texas"
"Ellison High School",8179699,"https://en.wikipedia.org/wiki/Ellison_High_School","Texas","Killeen, Texas","Bell County, Texas","Texas","unknown","Texas high school stubs"
"Elysian Fields High School",5510631,"https://en.wikipedia.org/wiki/Elysian_Fields_High_School","Texas","Elysian Fields, Texas","","Texas","public","Public high schools in Texas"
"Emerson High School (Texas)",79010215,"https://en.wikipedia.org/wiki/Emerson_High_School_(Texas)","Texas","McKinney, Texas","Collin County, Texas","Texas","public","High schools in Collin County, Texas"
"Emile School",52956572,"https://en.wikipedia.org/wiki/Emile_School","Texas","<!-- or","","Texas","public","Public high schools in Texas"
"Emmett J. Conrad High School",11772675,"https://en.wikipedia.org/wiki/Emmett_J._Conrad_High_School","Texas","Dallas, Texas","","Texas","public","Public high schools in Dallas"
"Energy Institute High School",42218172,"https://en.wikipedia.org/wiki/Energy_Institute_High_School","Texas","Houston, Texas","","Texas","public","Public high schools in Houston"
"Engineering & Technologies Academy",15581801,"https://en.wikipedia.org/wiki/Engineering_%26_Technologies_Academy","Texas","San Antonio, Texas","","Texas","unknown","Texas high school stubs"
"Ennis High School",13598656,"https://en.wikipedia.org/wiki/Ennis_High_School","Texas","Ennis, Texas","","Texas","public","Public high schools in Texas"
"Episcopal High School (Bellaire, Texas)",3209921,"https://en.wikipedia.org/wiki/Episcopal_High_School_(Bellaire,_Texas)","Texas","Bellaire, Texas","Harris County","Texas","private","Private high schools in Harris County, Texas"
"Episcopal School of Dallas",1888365,"https://en.wikipedia.org/wiki/Episcopal_School_of_Dallas","Texas","Dallas, Texas","","Texas","private","Private K–12 schools in Dallas"
"Era High School",33775504,"https://en.wikipedia.org/wiki/Era_High_School","Texas","Era, Texas","","Texas","public","Public high schools in Texas"
"Estacado High School",26145149,"https://en.wikipedia.org/wiki/Estacado_High_School","Texas","1504 East Itasca Ave.Lubbock","","Texas 79401","public","Public high schools in Texas"
"Eula High School",41211260,"https://en.wikipedia.org/wiki/Eula_High_School","Texas","Clyde, Texas","","Texas","public","Public high schools in Texas"
"Eustace High School",40880567,"https://en.wikipedia.org/wiki/Eustace_High_School","Texas","Eustace, Texas","","Texas","public","Public high schools in Texas"
"Evadale High School",32220530,"https://en.wikipedia.org/wiki/Evadale_High_School","Texas","Evadale, Texas","","Texas","public","Public high schools in Texas"
"Evant High School",13538356,"https://en.wikipedia.org/wiki/Evant_High_School","Texas","Evant, Texas","","Texas","public","Public high schools in Texas"
"Everman Joe C. Bean High School",20604826,"https://en.wikipedia.org/wiki/Everman_Joe_C._Bean_High_School","Texas","Everman, Texas","Tarrant County","Texas","public","Public high schools in Tarrant County, Texas"
"Excel Academy (Conroe, Texas)",15749105,"https://en.wikipedia.org/wiki/Excel_Academy_(Conroe,_Texas)","Texas","Conroe","","Texas","private","Private boarding schools in Texas"
"Fairfield High School (Texas)",25732871,"https://en.wikipedia.org/wiki/Fairfield_High_School_(Texas)","Texas","Fairfield, Texas","","Texas","public","Public high schools in Texas"
"Faith Christian School (Texas)",19487219,"https://en.wikipedia.org/wiki/Faith_Christian_School_(Texas)","Texas","","","Texas","private","Private high schools in Texas"
"Faith West Academy",21454722,"https://en.wikipedia.org/wiki/Faith_West_Academy","Texas","Katy, Texas","","","unknown","Texas high school stubs"
"Falfurrias High School",34416768,"https://en.wikipedia.org/wiki/Falfurrias_High_School","Texas","Falfurrias, Texas","","Texas","public","Public high schools in Texas"
"Falls City High School (Texas)",33823099,"https://en.wikipedia.org/wiki/Falls_City_High_School_(Texas)","Texas","Falls City, Texas","","Texas","public","Public high schools in Texas"
"Family Christian Academy (Texas)",52779633,"https://en.wikipedia.org/wiki/Family_Christian_Academy_(Texas)","Texas","","Harris County","Texas","private","Private K–12 schools in Harris County, Texas"
"Farmersville High School (Texas)",27301119,"https://en.wikipedia.org/wiki/Farmersville_High_School_(Texas)","Texas","Farmersville, Texas","Collin County, Texas","Texas","public","Public high schools in Texas"
"Farwell High School",23845645,"https://en.wikipedia.org/wiki/Farwell_High_School","Texas","Farwell, Texas","","Texas","public","Public high schools in Texas"
"Father Yermo Schools",11652496,"https://en.wikipedia.org/wiki/Father_Yermo_Schools","Texas","Headquarters: 202 Washington","","TX 79905","unknown","Texas high school stubs"
"Fayetteville High School (Texas)",41354222,"https://en.wikipedia.org/wiki/Fayetteville_High_School_(Texas)","Texas","Fayetteville, Texas","","Texas","public","Public high schools in Texas"
"Fidelity Manor High School",13034542,"https://en.wikipedia.org/wiki/Fidelity_Manor_High_School","Texas","","Harris County","Texas","public","High schools in Harris County, Texas"
"First Baptist Academy of Dallas",18329681,"https://en.wikipedia.org/wiki/First_Baptist_Academy_of_Dallas","Texas","Dallas","","TX","private","Private K–12 schools in Dallas"
"Floresville High School",33844589,"https://en.wikipedia.org/wiki/Floresville_High_School","Texas","Floresville, Texas","","Texas","public","Public high schools in Texas"
"Flour Bluff High School",11433570,"https://en.wikipedia.org/wiki/Flour_Bluff_High_School","Texas","2505 Waldron RoadCorpus Christi","","Texas","public","Public high schools in Texas"
"Follett High School",48235308,"https://en.wikipedia.org/wiki/Follett_High_School","Texas","Follett, Texas","","Texas","public","Public high schools in Texas"
"Forest Brook High School",9594418,"https://en.wikipedia.org/wiki/Forest_Brook_High_School","Texas","7525 Tidwell Road Houston","","Texas","unknown","Former high schools in Houston"
"Forest Park High School (Beaumont, Texas)",9491384,"https://en.wikipedia.org/wiki/Forest_Park_High_School_(Beaumont,_Texas)","Texas","Port Neches","","Texas","unknown","Former high schools in Texas"
